0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
236276;234126;215998;215224;191724;190786;165658;145664;97192;77732;38088;11798;59390;112114;137026;180300;186266;221548;222950;244604;244604;0
251064;248504;229826;229052;204358;203414;178094;158326;106912;87156;40782;14566;64168;121138;145944;192250;198734;233964;236372;257464;257464;0
277164;268006;265462;246204;245032;219204;218186;191406;171834;119312;88482;-36692;25920;80200;138976;162600;207852;214028;249262;251664;272808;1
268356;248962;247778;221650;220620;194456;178078;127948;97070;41016;-21178;79842;142488;163342;209710;216500;253290;255936;277122;277142;285684;1
261242;260054;232704;231272;205082;189158;140554;108962;46876;-14658;-77458;139918;163450;209722;216454;254872;257610;278424;278430;286720;287512;1
288906;287698;260490;258914;232358;216886;169678;137866;73342;12290;-58830;127980;160954;204730;211898;250590;253312;274930;274934;282954;283346;1
303088;275954;274272;248192;232900;186264;153962;88766;29644;-44474;-116860;165192;214810;222992;263060;265826;288090;288128;296008;296414;300862;1
314968;313292;286528;271874;225882;194418;127204;70518;-11090;-82404;-144374;204102;223984;263880;266706;290930;290964;298946;299352;303902;304702;0
323304;321628;294968;280480;233254;202004;135714;80092;-3990;-76174;-137062;203182;224510;268338;271646;297450;297476;306006;306412;311342;312142;0
322722;321046;293828;279446;231988;201504;134808;79504;-5018;-81512;145988;209940;227528;271930;275690;302938;302986;311956;312364;317152;317952;1
328620;326942;298820;284434;236214;205784;141118;85376;3896;-73394;148864;211812;229934;276272;280156;309570;309700;319652;320072;324860;325660;1
91144;89154;78332;74570;60408;55498;44828;31854;6154;-10994;-26294;51172;56082;84810;88804;106138;106762;115586;115786;119450;119450;0
125592;122916;111818;107076;89102;80890;65148;49224;17726;-1560;-22208;55854;66308;101424;109170;131680;134096;146092;146736;150648;150648;0
137688;134992;123668;117394;96802;87230;69090;53250;19910;68;21538;60752;71830;109702;119916;144290;146842;159164;161008;164976;164976;1
165944;163200;152050;145586;119888;110048;82332;60692;25326;3672;-23138;61984;74160;117692;129854;155760;158308;171962;173808;177834;177834;0
198406;186250;182668;169926;162234;134020;123138;89546;66552;30366;6172;25632;67228;81228;130312;142716;170206;172828;186922;188766;193640;1
